City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Ankara,TR,39.9199,32.8543,51.8,76,75,2.3,broken clouds
233,Harper,LR,4.375,-7.7169,80.02,79,66,6.31,broken clouds
234,Ikalamavony,MG,-21.15,46.5833,70.75,85,100,4.81,moderate rain
235,Guasdualito,VE,7.2424,-70.7324,81.68,78,89,4.32,moderate rain
236,Aklavik,CA,68.2191,-135.0107,-0.4,85,20,2.89,few clouds
237,Saint-Augustin,CA,51.226,-58.6502,30.83,96,100,13.78,light snow
238,Lavrentiya,RU,65.5833,-171.0,-12.82,85,0,3.96,clear sky
239,Boyolangu,ID,-8.1181,111.8935,75.65,85,88,1.03,moderate rain
240,Inhambane,MZ,-23.865,35.3833,78.8,73,20,8.72,few clouds
241,Sanmenxia,CN,34.7747,111.1814,24.48,67,100,5.68,overcast clouds
242,Tukrah,LY,32.5341,20.5791,68.83,44,0,9.17,clear sky
243,Khovu-Aksy,RU,51.1333,93.6,-15.5,76,59,1.9,broken clouds
244,Luderitz,NA,-26.6481,15.1594,71.26,52,0,27.58,clear sky
245,Taoudenni,ML,22.6783,-3.9836,76.89,32,98,11.32,overcast clouds
246,Puerto Narino,CO,-3.7703,-70.3831,82.4,74,75,5.75,light rain
247,Puri,IN,19.8,85.85,69.8,88,5,5.73,mist
248,Acapulco,MX,16.8634,-99.8901,84.2,70,75,6.91,broken clouds
249,San Patricio,US,28.017,-97.5169,55.4,67,90,10.36,overcast clouds
250,Portland,US,45.5234,-122.6762,46.0,75,75,5.64,broken clouds
251,Katobu,ID,-4.9408,122.5276,76.46,93,100,2.84,overcast clouds
252,Ayan,RU,56.45,138.1667,-7.53,77,100,6.58,overcast clouds
253,Mendi,PG,-6.1761,143.6513,55.24,98,100,2.37,light rain
254,Hami,CN,42.8,93.45,8.65,91,5,1.52,clear sky
255,Alice Town,BS,25.7167,-79.3,61.93,63,0,13.22,clear sky
256,Muravlenko,RU,63.7898,74.523,-17.45,89,88,5.41,overcast clouds
257,Gornopravdinsk,RU,60.05,69.9,-15.57,89,82,4.0,broken clouds
258,Piacabucu,BR,-10.4056,-36.4344,81.79,67,4,16.26,clear sky
259,Berasia,IN,23.6333,77.4333,66.74,74,93,2.91,overcast clouds
260,San Quintin,MX,30.4833,-115.95,64.6,52,0,10.51,clear sky
261,Bariri,BR,-22.0744,-48.7403,89.6,55,40,3.44,scattered clouds
262,Yining,CN,29.0361,114.5636,29.43,81,6,2.19,clear sky
263,Pulandian,CN,39.3953,121.9669,6.8,85,20,2.24,few clouds
264,Ponta Do Sol,PT,32.6667,-17.1,52.0,75,65,1.01,broken clouds
265,Biltine,TD,14.5333,20.9167,73.0,20,0,12.17,clear sky
266,Evensk,RU,61.95,159.2333,0.9,82,69,10.36,broken clouds
267,Rocha,UY,-34.4833,-54.3333,75.65,43,100,11.48,overcast clouds
268,Grindavik,IS,63.8424,-22.4338,23.0,100,90,8.05,light snow
269,Henties Bay,NA,-22.116,14.2845,66.99,85,91,2.04,overcast clouds
270,Pokhara,NP,28.2333,83.9833,58.46,35,97,4.47,overcast clouds
271,Khani,GE,41.9563,42.9566,41.0,56,0,3.44,clear sky
272,Flinders,AU,-34.5833,150.8552,60.01,88,0,1.01,clear sky
273,Trelew,AR,-43.249,-65.3051,87.17,12,76,10.25,broken clouds
274,Hammel,DK,56.2576,9.8632,33.01,86,9,1.01,clear sky
275,Gat,IL,31.61,34.7642,62.01,72,0,1.14,clear sky
276,Hudiksvall,SE,61.729,17.1036,20.44,97,45,6.73,scattered clouds
277,Wajid,SO,3.8093,43.2471,78.03,29,0,12.71,clear sky
278,Whitianga,NZ,-36.8333,175.7,70.0,86,5,5.01,clear sky
279,Honiara,SB,-9.4333,159.95,78.94,72,65,3.31,broken clouds
280,Bloemfontein,ZA,-29.1211,26.214,69.8,83,74,5.75,broken clouds
281,Sitka,US,57.0531,-135.33,44.6,61,90,20.71,light rain
282,Nizhniy Kuranakh,RU,58.8353,125.4869,-6.39,89,100,7.11,overcast clouds
283,Lata,PT,40.1629,-8.3327,45.0,57,96,5.48,overcast clouds
284,Carira,BR,-10.3608,-37.7011,86.58,50,98,17.65,overcast clouds
285,Jalu,LY,29.0331,21.5482,66.74,36,0,7.76,clear sky
286,Alyangula,AU,-13.8483,136.4192,78.8,100,75,7.27,broken clouds
287,Gazanjyk,TM,39.2446,55.5154,35.83,75,90,6.11,overcast clouds
288,Pangai,TO,-19.8,-174.35,80.28,81,36,15.57,scattered clouds
289,Le Port,RE,-20.9373,55.2919,75.2,78,0,1.14,clear sky
290,Sawtell,AU,-30.3833,153.1,64.4,94,90,10.36,overcast clouds
291,Grand Gaube,MU,-20.0064,57.6608,79.0,84,2,5.01,clear sky
292,Praia,CV,14.9215,-23.5087,73.4,64,75,24.16,broken clouds
293,Jaleswar,NP,26.6471,85.8008,59.61,57,73,1.81,broken clouds
294,Nantucket,US,41.2835,-70.0995,35.6,75,90,19.57,overcast clouds
295,Kloulklubed,PW,7.0419,134.2556,75.2,100,90,5.75,light rain
296,Keti Bandar,PK,24.1447,67.4497,60.13,34,0,14.18,clear sky
297,Hovd,MN,48.0056,91.6419,-5.71,84,20,0.54,few clouds
298,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,64.58,27,7,18.48,clear sky
299,Matara,LK,5.9485,80.5353,74.1,93,100,7.7,overcast clouds
300,Mae Hong Son,TH,19.3003,97.9685,68.47,84,18,1.14,few clouds
301,Huarmey,PE,-10.0681,-78.1522,75.74,69,16,11.14,few clouds
302,Morehead,US,37.2711,-87.1764,33.8,55,90,4.61,overcast clouds
303,Kangaatsiaq,GL,68.3065,-53.4641,14.11,85,100,6.78,overcast clouds
304,Alta Floresta,BR,-9.8756,-56.0861,87.75,66,24,2.98,few clouds
305,Gurupi,BR,-11.7292,-49.0686,84.94,59,100,1.05,overcast clouds
306,Biak,ID,-0.9131,122.8766,76.77,82,18,4.12,few clouds
307,Ixtapa,MX,20.7,-105.2,75.2,73,20,6.91,light rain
308,Slave Lake,CA,55.2834,-114.769,10.4,85,0,4.61,clear sky
309,Vardo,NO,70.3705,31.1107,21.58,93,100,14.05,overcast clouds
310,Roebourne,AU,-20.7833,117.1333,90.99,39,44,10.04,scattered clouds
311,Batesville,US,35.7698,-91.641,37.0,64,90,4.61,overcast clouds
312,Portoferraio,IT,42.8115,10.3146,43.0,93,75,12.66,light rain
